Ngày,Địa chỉ,Quận,Huyện,Giá,Diện tích,Giá/m²,Số tầng,Số phòng ngủ,Dài,Rộng,Loại hình nhà ở,Giấy tờ pháp lý
2023-01-11,Address 10,Tây Hồ,Hoàn Kiếm,17703247843.68113,184.56743499646524,96386163.24422224,2.0,5,12.253618785558011,3.21174192214327,Biệt thự,Hợp đồng mua bán
2023-01-12,Address 11,Đống Đa,Ba Đình,18949908423.536797,121.57930565196142,111148147.27427158,1.0,1,5.219706909087301,9.204075398516505,Biệt thự,Hợp đồng mua bán
2023-01-13,Address 12,Đống Đa,Hai Bà Trưng,9880628713.747524,114.62812636582933,108414545.10810645,5.0,1,18.817158202712626,9.354872168552099,Biệt thự,Sổ đỏ/ Sổ hồng
2023-01-14,Address 13,Cầu Giấy,Hai Bà Trưng,12654816395.003447,47.9305289926272,73059719.81267075,1.0,5,19.641290362993576,7.8105856215349245,Biệt thự,Sổ đỏ/ Sổ hồng
2023-01-15,Address 14,Hai Bà Trưng,Hai Bà Trưng,4173644975.749429,141.65261780313,22001335.9198701,2.0,1,8.334241499578779,6.568719984743876,Biệt thự,Hợp đồng mua bán
2023-01-16,Address 15,Đống Đa,Ba Đình,19832203896.602554,169.75753730203834,95780387.3845542,5.0,2,8.121590518945592,11.180698204948104,Biệt thự,Sổ đỏ/ Sổ hồng
2023-01-17,Address 16,Thanh Xuân,Hoàn Kiếm,5401762326.285424,94.6714012762856,52903200.093349144,5.0,1,16.305802648431943,5.493485576457045,Biệt thự,Sổ đỏ/ Sổ hồng
2023-01-18,Address 17,Cầu Giấy,Hoàn Kiếm,18911903708.567387,161.85401465730567,78533051.99857575,1.0,4,8.800690982440017,12.587382744860474,Nhà riêng,Hợp đồng mua bán
2023-01-19,Address 18,Hoàn Kiếm,Ba Đình,13343286330.855001,193.96103116313796,144485531.96089625,1.0,1,18.426148387427673,12.63644592920966,Nhà mặt phố,Sổ đỏ/ Sổ hồng
2023-01-20,Address 19,Hai Bà Trưng,Hoàn Kiếm,12546999102.698324,64.64029805170715,71874591.29351652,2.0,4,13.608937041844733,7.983137250873846,Biệt thự,Hợp đồng mua bán
2023-01-21,Address 20,Thanh Xuân,Ba Đình,10741081709.313663,118.96603730310602,129174208.86637548,3.0,1,10.261664345154681,6.402576130915772,Nhà mặt phố,Hợp đồng mua bán
2023-01-22,Address 21,Thanh Xuân,Hoàn Kiếm,5382726422.637415,78.81345287437784,44510278.747402646,3.0,1,17.4904061952413,6.4065381790885585,Biệt thự,Sổ đỏ/ Sổ hồng
2023-01-23,Address 22,Hoàn Kiếm,Đống Đa,4354032608.104657,164.7852512357527,107419864.74325375,1.0,5,12.401100506200928,8.78749588795452,Biệt thự,Sổ đỏ/ Sổ hồng
2023-01-24,Address 23,Hai Bà Trưng,Đống Đa,5189237972.333332,128.1908721997968,147010904.07706267,2.0,2,18.674493705627135,11.634950696992306,Nhà riêng,Hợp đồng mua bán
2023-01-25,Address 24,Cầu Giấy,Hai Bà Trưng,4542326980.740835,137.87901098355164,33246103.113481782,2.0,2,18.920213550940716,7.306424291926305,Nhà mặt phố,Sổ đỏ/ Sổ hồng
2023-01-26,Address 25,Ba Đình,Đống Đa,15812104997.768312,165.645407134702,21081592.489534963,1.0,3,7.48130228192614,10.320520145493019,Unknown,Hợp đồng mua bán
2023-01-27,Address 26,Hai Bà Trưng,Đống Đa,7652379924.167871,97.31498035261733,76365763.04223987,2.0,5,5.034851091978954,7.589813526991132,Nhà riêng,Sổ đỏ/ Sổ hồng
2023-01-28,Address 27,Hoàn Kiếm,Đống Đa,2099010854.704531,185.56531162919734,32041312.796677735,4.0,5,19.758964102136034,6.6542782698166,Nhà mặt phố,Sổ đỏ/ Sổ hồng
2023-01-29,Address 28,Thanh Xuân,Ba Đình,19412949972.675415,120.61490743184379,117289965.45791008,1.0,2,18.59206304191219,3.29831419098953,Nhà riêng,Sổ đỏ/ Sổ hồng
2023-01-30,Address 29,Cầu Giấy,Đống Đa,17791931814.305088,56.85231988200916,138891326.30031267,4.0,5,5.8316785355576215,3.0469692688246877,Biệt thự,Hợp đồng mua bán
2023-01-31,Address 30,Hai Bà Trưng,Đống Đa,18627293380.709045,148.3028500886964,76422726.45213865,2.0,2,17.49551395911605,5.7264921339840535,Biệt thự,Sổ đỏ/ Sổ hồng
2023-02-01,Address 31,Ba Đình,Hai Bà Trưng,19903248630.282272,164.85442957450326,53632513.480207324,1.0,5,11.8670739883881,7.876875441611945,Biệt thự,Hợp đồng mua bán
2023-02-02,Address 32,Ba Đình,Đống Đa,4304009735.1702585,83.84948510147953,76472431.47085927,2.0,1,8.884424075374628,13.215134008344723,Biệt thự,Hợp đồng mua bán
2023-02-03,Address 33,Đống Đa,Đống Đa,8528598359.1505165,175.720473689788,114048216.32050014,1.0,2,18.181197855153947,12.581810915165105,Biệt thự,Hợp đồng mua bán
2023-02-04,Address 34,Đống Đa,Hoàn Kiếm,15406531038.377735,184.0443533101803,21177041.005448226,2.0,2,7.9500084858546085,6.205983151055879,Nhà riêng,Sổ đỏ/ Sổ hồng
2023-02-05,Address 35,Tây Hồ,Hai Bà Trưng,14224391743.022053,77.07376285422751,96629018.63301064,4.0,4,19.209499991301,5.934485315811592,Nhà riêng,Hợp đồng mua bán
2023-02-06,Address 36,Hoàn Kiếm,Hai Bà Trưng,3924022220.4572463,197.19865036158774,99727919.03535928,4.0,5,8.084322315490116,5.727864852840329,Biệt thự,Hợp đồng mua bán
2023-02-07,Address 37,Hai Bà Trưng,Hai Bà Trưng,16500829374.821737,53.92095976828893,102899472.09647162,2.0,5,14.205247815931154,7.070848086346404,Biệt thự,Sổ đỏ/ Sổ hồng
2023-02-08,Address 38,Hai Bà Trưng,Hai Bà Trưng,5264370864.896553,64.3426636284233,51462870.39751404,1.0,2,8.346295017934622,8.978384634740225,Nhà riêng,Hợp đồng mua bán
2023-02-09,Address 39,Tây Hồ,Hai Bà Trưng,5252534681.629839,61.31822267046444,112826854.03915648,3.0,1,13.185029974529522,8.264013264378907,Nhà mặt phố,Hợp đồng mua bán
2023-02-10,Address 40,Thanh Xuân,Hai Bà Trưng,11202514034.974857,181.97825070133797,31880893.223130934,1.0,1,15.259626948727119,5.619278385377925,Nhà riêng,Sổ đỏ/ Sổ hồng
2023-02-11,Address 41,Thanh Xuân,Ba Đình,12265858761.99236,141.2297338952435,45905143.74068411,4.0,1,7.853418962302063,4.565416919323416,Nhà riêng,Hợp đồng mua bán
2023-02-12,Address 42,Tây Hồ,Đống Đa,12021637948.918413,55.85772814778639,134071106.06508265,3.0,5,12.813286740510188,3.1509337498343446,Nhà riêng,Sổ đỏ/ Sổ hồng
2023-02-13,Address 43,Thanh Xuân,Hai Bà Trưng,2738249910.5573425,104.85498112261932,116034009.59445363,2.0,4,12.035896165851785,4.847558863998046,Nhà riêng,Hợp đồng mua bán
2023-02-14,Address 44,Đống Đa,Đống Đa,17671756389.977226,134.60066426186634,21786922.021474883,1.0,2,6.065561321050119,11.46427644232942,Nhà riêng,Hợp đồng mua bán
2023-02-15,Address 45,Hai Bà Trưng,Đống Đa,6046400809.185415,44.18889444819516,52288913.84807403,2.0,3,17.274617265129542,5.923662832146995,Nhà mặt phố,Sổ đỏ/ Sổ hồng
2023-02-16,Address 46,Tây Hồ,Ba Đình,3460783504.373279,180.0107826292476,47872842.78911139,5.0,4,10.035236009642626,8.623221721458117,Biệt thự,Hợp đồng mua bán
2023-02-17,Address 47,Hai Bà Trưng,Hai Bà Trưng,17886213517.510567,166.61260102506097,55204822.64480644,4.0,3,13.618732963278193,10.095613787078936,Biệt thự,Hợp đồng mua bán
2023-02-18,Address 48,Ba Đình,Hoàn Kiếm,19157378466.365314,115.8851515080285,52182770.13638523,5.0,4,12.721763523997016,13.642090833979285,Nhà mặt phố,Hợp đồng mua bán
2023-02-19,Address 49,Đống Đa,Ba Đình,17380424728.043564,194.41152459405896,28128418.446569946,4.0,1,12.698907568556635,13.666261180721033,Biệt thự,Sổ đỏ/ Sổ hồng
2023-02-20,Address 50,Cầu Giấy,Hoàn Kiếm,16380805419.772684,101.01936647676695,79662267.15758663,4.0,5,6.608335913127312,11.948804804176309,Biệt thự,Sổ đỏ/ Sổ hồng
2023-02-21,Address 51,Đống Đa,Đống Đa,13449597632.141413,197.29875423620462,115255351.72220147,5.0,3,11.35223013873999,3.421883904582017,Biệt thự,Sổ đỏ/ Sổ hồng
2023-02-22,Address 52,Tây Hồ,Đống Đa,11466290041.573647,143.54639979661658,98875124.21326673,5.0,4,11.785501388098552,9.900845029024978,Nhà mặt phố,Sổ đỏ/ Sổ hồng
2023-02-23,Address 53,Cầu Giấy,Ba Đình,2652748438.3167925,137.89411645317006,107473316.91775037,2.0,5,16.004642605466728,12.439001649978078,Nhà mặt phố,Sổ đỏ/ Sổ hồng
2023-02-24,Address 54,Ba Đình,Ba Đình,8760611048.343275,58.21233220028345,30549393.20971109,5.0,3,17.600282478810477,3.2074565371603585,Biệt thự,Hợp đồng mua bán
2023-02-25,Address 55,Tây Hồ,Hoàn Kiếm,8081081823.233966,179.92771891178947,143693792.32298234,2.0,2,13.174734171500269,9.59621536387894,Biệt thự,Sổ đỏ/ Sổ hồng
2023-02-26,Address 56,Hoàn Kiếm,Hai Bà Trưng,5935321891.4461975,102.67324694650458,129003938.39959323,2.0,4,6.301744310974858,13.293169749432353,Biệt thự,Sổ đỏ/ Sổ hồng
2023-02-27,Address 57,Hai Bà Trưng,Hoàn Kiếm,14744982160.083115,57.579678983021495,124661741.40443616,2.0,2,8.552742058948194,8.689224910107203,Nhà riêng,Sổ đỏ/ Sổ hồng
2023-02-28,Address 58,Ba Đình,Ba Đình,10421638966.496645,32.14327839587904,126987894.65542978,4.0,1,7.474010402790966,3.0492744347693814,Nhà riêng,Hợp đồng mua bán
2023-03-01,Address 59,Hai Bà Trưng,Hoàn Kiếm,2539878102.245311,125.15846621852504,141252366.05725896,4.0,2,6.869225947836871,3.1321603000272895,Nhà riêng,Hợp đồng mua bán
2023-03-02,Address 60,Thanh Xuân,Ba Đình,5183480837.046415,119.65793576085497,90753015.5947807,5.0,2,10.488489479267113,7.999632448965007,Nhà mặt phố,Sổ đỏ/ Sổ hồng
2023-03-03,Address 61,Hoàn Kiếm,Hoàn Kiếm,13981916509.532322,152.29011580275696,46036662.32279137,4.0,4,8.44090253231573,4.860104009001055,Biệt thự,Hợp đồng mua bán
2023-03-04,Address 62,Hoàn Kiếm,Ba Đình,2446486330.3157034,181.34386901302636,100181869.02083035,5.0,1,8.274546677172685,10.973407885119116,Nhà mặt phố,Hợp đồng mua bán
2023-03-05,Address 63,Ba Đình,Ba Đình,17172931366.926605,43.49911938931502,116574594.17683206,1.0,2,5.820397618644015,11.505591178873848,Nhà mặt phố,Hợp đồng mua bán
2023-03-06,Address 64,Hoàn Kiếm,Ba Đình,10407784013.265512,154.3544033578616,115929261.1360233,1.0,5,5.265050671931508,5.134557545527543,Nhà mặt phố,Hợp đồng mua bán
2023-03-07,Address 65,Cầu Giấy,Hai Bà Trưng,10131144969.206312,61.860030496588976,87788373.14169441,1.0,3,6.5415236397467265,13.662399462293818,Biệt thự,Sổ đỏ/ Sổ hồng
2023-03-08,Address 66,Hoàn Kiếm,Hoàn Kiếm,12255747908.530834,175.89009903671788,28899633.51336515,5.0,2,7.582962191354496,8.30289413974711,Nhà riêng,Sổ đỏ/ Sổ hồng
2023-03-09,Address 67,Hai Bà Trưng,Hoàn Kiếm,16668938352.577835,169.24079735648155,68244681.99591662,4.0,1,11.464755932723047,4.714150891103085,Biệt thự,Hợp đồng mua bán
2023-03-10,Address 68,Hai Bà Trưng,Hoàn Kiếm,7608374950.141668,121.93493834754254,139699659.10023648,4.0,2,12.65780391948267,12.171019176832745,Biệt thự,Hợp đồng mua bán
2023-03-11,Address 69,Tây Hồ,Ba Đình,13882306898.622208,150.74127576596294,95978358.26846538,2.0,3,7.108878772600484,12.479694000201274,Unknown,Hợp đồng mua bán
2023-03-12,Address 70,Hai Bà Trưng,Hoàn Kiếm,11748907315.92003,83.43951924123724,89983152.62324275,3.0,1,11.371750122862794,10.67154567198549,Nhà mặt phố,Hợp đồng mua bán
2023-03-13,Address 71,Tây Hồ,Hoàn Kiếm,6073537133.219006,110.0985428185785,54950956.86968516,5.0,4,10.12623263488891,13.241586638430638,Nhà mặt phố,Sổ đỏ/ Sổ hồng
2023-03-14,Address 72,Hai Bà Trưng,Ba Đình,17693969740.748,169.67827261078017,67898359.58915526,3.0,1,7.75135465246934,11.848475664368056,Nhà riêng,Hợp đồng mua bán
2023-03-15,Address 73,Cầu Giấy,Đống Đa,16151094410.531633,108.07508351944637,136394991.589912,3.0,4,5.102611222225454,13.586468846723887,Nhà riêng,Sổ đỏ/ Sổ hồng
2023-03-16,Address 74,Tây Hồ,Ba Đình,13510584858.510084,90.82570510532511,106640196.17848864,5.0,1,12.005267997826126,8.206656581825754,Nhà riêng,Hợp đồng mua bán
2023-03-17,Address 75,Đống Đa,Hoàn Kiếm,17161052852.790596,114.01611603255098,122360313.47780327,4.0,3,15.28477623897799,11.97116553719331,Biệt thự,Sổ đỏ/ Sổ hồng
2023-03-18,Address 76,Thanh Xuân,Ba Đình,17478589818.236244,170.80237291432712,79064904.99879517,5.0,3,8.394160012157105,14.997018761148531,Nhà mặt phố,Hợp đồng mua bán
2023-03-19,Address 77,Ba Đình,Đống Đa,14458896557.58566,86.98536805304836,101932138.52930053,3.0,1,6.97710244845019,11.699174370235431,Biệt thự,Sổ đỏ/ Sổ hồng
2023-03-20,Address 78,Hai Bà Trưng,Ba Đình,16903253238.90977,59.53947083307645,52289869.136616975,1.0,2,18.305641166704426,4.370205362845586,Nhà riêng,Sổ đỏ/ Sổ hồng
2023-03-21,Address 79,Hoàn Kiếm,Hoàn Kiếm,14251957771.716389,151.04238345623273,111709907.93685322,1.0,3,9.125371587316966,9.219824669150196,Nhà mặt phố,Sổ đỏ/ Sổ hồng
2023-03-22,Address 80,Hai Bà Trưng,Đống Đa,13922674663.445707,170.41629616037392,75588173.38143384,5.0,4,8.354189296889972,10.048173494916336,Nhà riêng,Hợp đồng mua bán
2023-03-23,Address 81,Hoàn Kiếm,Hai Bà Trưng,12753616186.088501,47.10837134900066,77530916.92591693,5.0,4,17.856454094148738,5.090528100856692,Nhà mặt phố,Sổ đỏ/ Sổ hồng
2023-03-24,Address 82,Thanh Xuân,Hoàn Kiếm,15301616151.595184,70.7785991685106,104411902.19499461,4.0,5,17.25660648750142,14.554699610136451,Nhà mặt phố,Hợp đồng mua bán
2023-03-25,Address 83,Thanh Xuân,Đống Đa,4013497000.5684004,54.13523825936896,141716480.79096046,1.0,4,11.725197057869504,5.106957331615396,Biệt thự,Sổ đỏ/ Sổ hồng
2023-03-26,Address 84,Thanh Xuân,Đống Đa,17736544424.77964,89.15003996896833,28320825.059120722,1.0,5,12.338582921416617,5.130695036558674,Unknown,Sổ đỏ/ Sổ hồng
2023-03-27,Address 85,Hoàn Kiếm,Hai Bà Trưng,17565027027.15941,106.55966641392016,127216620.85511099,4.0,1,8.266230572510329,13.98200565569466,Nhà riêng,Hợp đồng mua bán
2023-03-28,Address 86,Hai Bà Trưng,Ba Đình,1555698377.6566238,157.30047728376212,58009804.3535851,2.0,1,6.174525057193362,8.582465197460053,Biệt thự,Sổ đỏ/ Sổ hồng
2023-03-29,Address 87,Thanh Xuân,Ba Đình,16690518260.730492,140.6950894298846,77709529.08582911,5.0,1,13.601477380334916,3.7582593512941944,Biệt thự,Hợp đồng mua bán
2023-03-30,Address 88,Cầu Giấy,Hoàn Kiếm,3448527481.9954586,135.5578564713333,22848732.740751162,5.0,2,6.475173823853197,10.178249999262343,Biệt thự,Hợp đồng mua bán
2023-03-31,Address 89,Tây Hồ,Hai Bà Trưng,7367258230.923696,89.90374092364125,59135990.11846069,3.0,2,11.739118204349747,10.221916183596575,Nhà mặt phố,Hợp đồng mua bán
2023-04-01,Address 90,Hoàn Kiếm,Ba Đình,15126656869.540548,173.0460840244092,85342061.54191697,4.0,5,19.107457977695162,3.7740091042387416,Biệt thự,Hợp đồng mua bán
2023-04-02,Address 91,Hoàn Kiếm,Hai Bà Trưng,4054438024.9178557,110.11881845768798,27302890.05516707,1.0,4,19.292515837558767,14.670269947603945,Nhà riêng,Sổ đỏ/ Sổ hồng
2023-04-03,Address 92,Hai Bà Trưng,Ba Đình,16541373458.262182,196.44783946257627,83842444.81981146,3.0,4,8.589984298210378,9.528359583534908,Nhà mặt phố,Sổ đỏ/ Sổ hồng
2023-04-04,Address 93,Hoàn Kiếm,Đống Đa,16810549381.197096,137.80416351027526,140524381.75159556,1.0,1,14.361701300684816,9.717548666157171,Nhà mặt phố,Hợp đồng mua bán
2023-04-05,Address 94,Hoàn Kiếm,Ba Đình,10641886941.455889,51.46500606596547,33701118.35401468,5.0,3,12.111143961617865,9.241384974028733,Biệt thự,Sổ đỏ/ Sổ hồng
2023-04-06,Address 95,Thanh Xuân,Hai Bà Trưng,1121331562.619838,144.95018555282377,119377294.64981556,3.0,2,18.13527691379159,10.32878135573544,Nhà mặt phố,Sổ đỏ/ Sổ hồng
2023-04-07,Address 96,Hai Bà Trưng,Đống Đa,6453724530.323343,85.26768262338882,73257236.93887904,1.0,2,9.0714629641408,6.171597033285059,Nhà riêng,Hợp đồng mua bán
2023-04-08,Address 97,Thanh Xuân,Đống Đa,12721611449.139101,146.67562343663656,105172582.88816394,1.0,1,5.055536102486252,6.44689617569809,Nhà riêng,Sổ đỏ/ Sổ hồng
2023-04-09,Address 98,Tây Hồ,Đống Đa,19642537382.521046,41.83899518760897,53830757.738079816,3.0,2,7.438418088971226,9.136069077553593,Nhà mặt phố,Hợp đồng mua bán
2023-04-10,Address 99,Tây Hồ,Hai Bà Trưng,13004457013.3167,59.7298443199131,40733994.13037658,5.0,1,10.242842017540971,12.680230257162954,Biệt thự,Sổ đỏ/ Sổ hồng
2023-04-11,Address 100,Thanh Xuân,Hoàn Kiếm,5936268040.219036,175.47533401398368,40860139.85525943,3.0,5,9.735816946557328,3.5983749179301463,Biệt thự,Sổ đỏ/ Sổ hồng
2023-04-12,Address 101,Tây Hồ,Hoàn Kiếm,13046108358.892616,68.62052469399754,29163952.933608804,4.0,4,16.87044378684329,10.240850546642951,Nhà mặt phố,Hợp đồng mua bán
2023-04-13,Address 102,Hai Bà Trưng,Hoàn Kiếm,11259722214.601254,172.2969912912998,44134071.6371616,3.0,3,15.208409992082567,12.681337710075768,Nhà riêng,Sổ đỏ/ Sổ hồng
2023-04-14,Address 103,Ba Đình,Hai Bà Trưng,15817062507.871729,77.47693503724977,106348520.04856588,5.0,4,9.493344794223459,4.883007264446726,Nhà mặt phố,Sổ đỏ/ Sổ hồng
2023-04-15,Address 104,Thanh Xuân,Đống Đa,3032632137.7122097,139.2899247099803,134619779.53965604,1.0,4,11.8661572574932,3.1802705037667955,Biệt thự,Hợp đồng mua bán
2023-04-16,Address 105,Cầu Giấy,Hoàn Kiếm,15459530147.538532,148.00559749667127,125836339.12685104,5.0,5,6.433386559375029,6.752559541697497,Biệt thự,Sổ đỏ/ Sổ hồng
2023-04-17,Address 106,Cầu Giấy,Hai Bà Trưng,11284064994.846096,117.151308034659,109067460.28368293,1.0,2,18.47219667230151,10.057724480755178,Nhà mặt phố,Hợp đồng mua bán
2023-04-18,Address 107,Hoàn Kiếm,Hoàn Kiếm,19296848073.3209,81.90281503844432,34356142.24344335,2.0,3,19.031372366728014,4.659398080856972,Nhà riêng,Sổ đỏ/ Sổ hồng
2023-04-19,Address 108,Tây Hồ,Ba Đình,7495571154.735036,66.14954398308635,57594368.018473476,5.0,2,19.697053030714073,8.113468451669826,Nhà mặt phố,Hợp đồng mua bán
2023-04-20,Address 109,Cầu Giấy,Hoàn Kiếm,13019815969.545013,35.64219027561246,60274893.79192097,5.0,4,18.028292461787565,9.627857968491336,Nhà riêng,Hợp đồng mua bán
2023-04-21,Address 110,Hoàn Kiếm,Hoàn Kiếm,18708534004.69033,81.67088821092304,52494403.03169076,4.0,1,7.609413315443383,10.186597137087805,Nhà riêng,Hợp đồng mua bán
2023-04-22,Address 111,Ba Đình,Đống Đa,2947684831.8229055,141.0376743903181,86950735.76226401,3.0,4,5.692947248024432,6.292940652004502,Nhà mặt phố,Hợp đồng mua bán
2023-04-23,Address 112,Hai Bà Trưng,Hai Bà Trưng,18807341257.492573,189.51181913624205,89621995.93435743,1.0,2,13.69395091119011,7.8003556318354965,Nhà mặt phố,Hợp đồng mua bán
2023-04-24,Address 113,Hai Bà Trưng,Đống Đa,14069828723.715454,178.10476198471883,66395176.77224433,1.0,4,18.689075403246655,12.340070748810705,Nhà riêng,Sổ đỏ/ Sổ hồng
2023-04-25,Address 114,Hai Bà Trưng,Đống Đa,2288904122.998266,160.23101201100144,65992590.63573668,4.0,1,7.660270424896143,14.294576329448226,Nhà riêng,Sổ đỏ/ Sổ hồng
2023-04-26,Address 115,Cầu Giấy,Đống Đa,6718307771.989509,164.03604835306078,127712227.72779058,4.0,5,5.105643719362128,13.342563973419086,Nhà riêng,Hợp đồng mua bán
2023-04-27,Address 116,Ba Đình,Đống Đa,14455269684.26035,143.04743359091918,122608070.28155912,3.0,2,17.082440690483665,9.771402020801183,Nhà riêng,Sổ đỏ/ Sổ hồng
2023-04-28,Address 117,Cầu Giấy,Đống Đa,2279661427.906662,74.2487657862205,60013458.11849693,3.0,4,6.1519352643010095,7.9235136353273585,Biệt thự,Hợp đồng mua bán
2023-04-29,Address 118,Tây Hồ,Hoàn Kiếm,12061238743.349192,184.22315521999107,138792497.7035237,5.0,2,11.205590478650457,6.995479372457019,Nhà mặt phố,Sổ đỏ/ Sổ hồng
2023-04-30,Address 119,Cầu Giấy,Đống Đa,7571778082.106178,144.0244930239918,143865952.21032578,2.0,5,15.183310057831775,4.499478793008217,Nhà riêng,Sổ đỏ/ Sổ hồng
2023-05-01,Address 120,Ba Đình,Đống Đa,12797394837.582066,125.27490726667479,62476530.463905305,3.0,4,8.551963781842701,4.278614966593356,Nhà mặt phố,Hợp đồng mua bán
2023-05-02,Address 121,Ba Đình,Hai Bà Trưng,1869098642.4377441,48.868209766291784,66075243.343097135,4.0,4,6.2594384517009,11.260291498963893,Nhà riêng,Hợp đồng mua bán
2023-05-03,Address 122,Tây Hồ,Ba Đình,17559199316.89515,105.99944244709232,85732439.94485465,3.0,2,16.55031842683743,6.117532994053924,Nhà mặt phố,Sổ đỏ/ Sổ hồng
2023-05-04,Address 123,Ba Đình,Hoàn Kiếm,19496290414.37054,108.26090610432747,142345705.62937754,1.0,2,14.452626273305622,6.055940237189361,Nhà mặt phố,Sổ đỏ/ Sổ hồng
2023-05-05,Address 124,Ba Đình,Hoàn Kiếm,19408679250.42814,176.9758136188539,133921526.3085005,2.0,1,19.82735726730207,14.978340653733428,Nhà riêng,Hợp đồng mua bán
2023-05-06,Address 125,Hai Bà Trưng,Hoàn Kiếm,15243384803.11557,122.93019743192404,33333835.13586667,5.0,5,10.16462049979939,5.255111494485545,Nhà riêng,Sổ đỏ/ Sổ hồng
2023-05-07,Address 126,Tây Hồ,Đống Đa,3471638562.4820075,94.66809332496965,71054996.6252841,1.0,1,5.9264357943529955,4.776717113865956,Nhà mặt phố,Sổ đỏ/ Sổ hồng
2023-05-08,Address 127,Đống Đa,Đống Đa,15407000722.651428,196.0560558468121,91938254.66747034,1.0,4,16.015250530029434,4.184222733119047,Nhà mặt phố,Hợp đồng mua bán
2023-05-09,Address 128,Đống Đa,Đống Đa,1467151412.7172287,48.822500865473664,85407221.4317002,2.0,2,12.826001282798686,9.957664142001555,Nhà mặt phố,Sổ đỏ/ Sổ hồng
2023-05-10,Address 129,Ba Đình,Hai Bà Trưng,1420347479.050948,101.83323281303059,45202198.83179605,5.0,4,8.198058970837026,10.534365912025217,Biệt thự,Hợp đồng mua bán
2023-05-11,Address 130,Đống Đa,Ba Đình,7148594163.841284,37.1441947791389,131646180.25186011,4.0,4,16.725934835071392,7.382735115082584,Nhà riêng,Hợp đồng mua bán
2023-05-12,Address 131,Đống Đa,Đống Đa,10284220617.68865,155.78370053037816,108002301.78958885,5.0,3,8.056332287749157,9.424960026137613,Biệt thự,Hợp đồng mua bán
2023-05-13,Address 132,Ba Đình,Ba Đình,15637740938.34807,186.07301387385561,128928088.73073447,3.0,3,8.909924822494048,12.46079437133895,Biệt thự,Sổ đỏ/ Sổ hồng
2023-05-14,Address 133,Đống Đa,Hai Bà Trưng,13982612155.523598,77.6063460235832,131639356.31543139,1.0,4,6.387928315500787,12.81725001986098,Nhà riêng,Sổ đỏ/ Sổ hồng
2023-05-15,Address 134,Cầu Giấy,Hoàn Kiếm,9472151421.158218,175.91808505585055,117286260.97654617,3.0,2,10.991484185462816,14.49494490858778,Nhà riêng,Hợp đồng mua bán
2023-05-16,Address 135,Hoàn Kiếm,Đống Đa,6198906659.351651,79.67709917852261,77097378.16246325,4.0,4,11.283938359061285,12.891215831074494,Biệt thự,Hợp đồng mua bán
2023-05-17,Address 136,Tây Hồ,Ba Đình,19945365502.996513,184.8309274794656,99371078.1520052,3.0,3,12.718426855224475,9.778097240609119,Nhà riêng,Sổ đỏ/ Sổ hồng
2023-05-18,Address 137,Hoàn Kiếm,Ba Đình,9097444742.483486,158.17352361145328,40847502.79556661,5.0,2,15.634464006856662,5.155883590042151,Nhà mặt phố,Sổ đỏ/ Sổ hồng
2023-05-19,Address 138,Ba Đình,Đống Đa,9576353462.263834,166.83415206304457,107573904.271738,3.0,4,18.59151393020639,4.197162692434109,Nhà mặt phố,Sổ đỏ/ Sổ hồng
